,Recall@10,MAP@10,MIUF@10,Siren@10,PopInt@10,RecallNoPop@10,model,K,B,K1
5,0.0772783623573422,0.0285797258639604,6.121813205566067,0.0002709402682182,0.0481046701300837,0.0602242869705847,bm25,50,0.5,1.25
17,0.0700685936429692,0.0255392567650366,6.430823607866777,0.0002962278981178,0.0318424190917439,0.0600202645001666,bm25,200,0.5,2.5
14,0.0676894876193965,0.0250002836259526,6.479354130239957,0.0002966029986448,0.0320836703082806,0.0589274254958506,bm25,100,0.5,2.5
0,0.1455433534012644,0.0593374685248015,4.299070885612279,0.0001189997503536,0.2081647087851082,0.0587076561570171,bm25,50,0.25,0.5
37,0.0648795472958633,0.0238546204975091,6.630329272854238,0.0003091575809432,0.0260521157457541,0.0585418303930483,bm25,200,0.7,1.2
3,0.152991145427314,0.0623304933351764,4.219467047494293,0.0001130460171649,0.2235214453141064,0.058246892188883,bm25,100,0.25,0.5
6,0.154597829570298,0.0625589962314525,4.2171355676279845,0.0001113538807107,0.2279856894164736,0.0578536606024981,bm25,200,0.25,0.5
14,0.1477778004608047,0.0606575646408311,4.2326869678516825,0.0001122087338448,0.21868984140474,0.057454250231552,bm25,50,0.1,5.0
29,0.0621648132258635,0.0229756285111988,6.744680743320617,0.0003148203286729,0.0232102860745959,0.0572898308970696,bm25,200,0.5,5.0
34,0.0626236225496344,0.023414466359819,6.680586997339899,0.000308493328619,0.0262928186640714,0.0572578490862958,bm25,100,0.7,1.2
17,0.1551538316055992,0.0635763247907495,4.161989800914661,0.000107596540973,0.2332449659369731,0.0571771869917398,bm25,100,0.1,5.0
12,0.0659505756996347,0.0248063305015325,6.601036872807423,0.0003021571269169,0.0329094074266993,0.0567975224178248,bm25,50,1.0,0.5
20,0.1566883388035097,0.0637021493369902,4.161701893833051,0.0001062334968041,0.2381409948871191,0.0567447499592988,bm25,200,0.1,5.0
6,0.0656596138469847,0.0246896937396224,6.594118709857699,0.0002992294357983,0.0326717201485888,0.056359325498994,bm25,50,0.5,2.5
26,0.060268023535958,0.0226619471116537,6.793215224020727,0.0003136100452021,0.0232928049566159,0.0561469966656506,bm25,100,0.5,5.0
30,0.156515639419232,0.0655666537962971,4.06950515669022,9.817915398941654e-05,0.2503729798637479,0.055462021730954,bm25,50,0.7,0.1
33,0.1636275594730034,0.068829017312776,4.001083135188326,9.32965793494084e-05,0.2652916261154442,0.0549165371049774,bm25,100,0.7,0.1
36,0.164901675906897,0.0686883181924096,4.006387398272521,9.364084101872254e-05,0.2684465340698806,0.0548854743841274,bm25,200,0.7,0.1
31,0.0604518536620292,0.0231033336109055,6.797845142907777,0.0003106104412013,0.0267692898167313,0.0547741337868109,bm25,50,0.7,1.2
23,0.0583021375609934,0.0223585826837055,6.908030163267591,0.0003150024946385,0.0241741943443038,0.0536163411932107,bm25,50,0.5,5.0
9,0.0565173718588476,0.0218336104788072,6.995124096661167,0.0003203699561387,0.0223905802365906,0.0528733653074874,bm25,50,0.75,1.25
13,0.165791363359333,0.0704606421427242,3.8463289533335288,7.854607035031218e-05,0.2951409811796637,0.0515153256143386,bm25,50,0.1,1.2
16,0.1725020085924153,0.0733189396149826,3.8096118960894376,7.587565865277939e-05,0.3075624031910955,0.0512792610969429,bm25,100,0.1,1.2
19,0.1724961472525264,0.072971606837175,3.823218199846596,7.578230859718386e-05,0.3077134593505408,0.0509812017188799,bm25,200,0.1,1.2
21,0.1707410692440777,0.0731520068300315,3.760778061039281,7.255599731857964e-05,0.3166098721094402,0.0501367841092125,bm25,50,0.5,0.1
24,0.1776230967611726,0.0762211072918927,3.725874435435041,7.045402078101256e-05,0.3289534357737172,0.0499507555063615,bm25,100,0.5,0.1
