item_id,runtime
tt0044517,"""105"""
tt0044557,"""76"""
tt0044672,"""152"""
tt0044685,"""112"""
tt0044706,"""85"""
tt0044789,"""99"""
tt0044829,"""78"""
tt0044837,"""137"""
tt0044876,"""85"""
tt0044916,"""97"""
tt0044926,"""119"""
tt0044953,"""91"""
tt0045012,"""95"""
tt0045034,"""97"""
tt0045061,"""129"""
tt0045070,"""89"""
tt0045152,"""103"""
tt0045162,"""114"""
tt0045186,"""89"""
tt0045251,"""90"""
tt0045296,"""113"""
tt0045361,"""92"""
tt0045464,"""89"""
tt0045469,"""76"""
tt0045537,"""112"""
tt0045546,"""80"""
tt0045554,"""78"""
tt0045555,"""89"""
tt0045591,"""101"""
tt0045659,"""126"""
tt0045758,"""62"""
tt0045793,"""118"""
tt0045810,"""91"""
tt0045877,"""71"""
tt0045883,"""83"""
tt0045888,"""88"""
tt0045891,"""95"""
tt0045897,"""95"""
tt0045919,"""109"""
tt0045920,"""81"""
tt0045943,"""120"""
tt0045963,"""109"""
tt0046085,"""116"""
tt0046126,"""92"""
tt0046183,"""77"""
tt0046187,"""80"""
tt0046247,"""135"""
tt0046250,"""118"""
tt0046268,"""131"""
tt0046303,"""118"""
tt0046359,"""120"""
tt0046414,"""89"""
tt0046435,"""98"""
tt0046451,"""96"""
tt0046487,"""114"""
tt0046511,"""85"""
tt0046521,"""109"""
tt0046534,"""85"""
tt0046672,"""127"""
tt0046719,"""91"""
tt0046754,"""128"""
tt0046806,"""102"""
tt0046807,"""108"""
tt0046808,"""96"""
tt0046816,"""124"""
tt0046828,"""105"""
tt0046874,"""104"""
tt0046876,"""79"""
tt0046889,"""124"""
tt0046911,"""117"""
tt0046912,"""105"""
tt0046998,"""102"""
tt0047030,"""115"""
tt0047034,"""96"""
tt0047086,"""147"""
tt0047094,"""108"""
tt0047101,"""91"""
tt0047123,"""86"""
tt0047136,"""110"""
tt0047191,"""96"""
tt0047203,"""108"""
tt0047264,"""95"""
tt0047296,"""108"""
tt0047396,"""112"""
tt0047422,"""91"""
tt0047437,"""113"""
tt0047443,"""94"""
tt0047445,"""124"""
tt0047469,"""123"""
tt0047472,"""102"""
tt0047478,"""207"""
tt0047522,"""154"""
tt0047542,"""77"""
tt0047573,"""94"""
tt0047574,"""117"""
tt0047577,"""86"""
tt0047630,"""117"""
tt0047647,"""94"""
tt0047673,"""120"""
tt0047677,"""79"""
tt0047708,"""25"""
tt0047795,"""79"""
tt0047811,"""89"""
tt0047834,"""72"""
tt0047840,"""109"""
tt0047849,"""81"""
tt0047876,"""113"""
tt0047878,"""87"""
tt0047885,"""101"""
tt0047977,"""93"""
tt0047985,"""112"""
tt0048028,"""118"""
tt0048055,"""97"""
tt0048127,"""82"""
tt0048198,"""103"""
tt0048254,"""67"""
tt0048261,"""106"""
tt0048280,"""76"""
tt0048281,"""91"""
tt0048308,"""116"""
tt0048342,"""103"""
tt0048347,"""119"""
tt0048356,"""90"""
tt0048380,"""123"""
tt0048393,"""93"""
tt0048424,"""92"""
tt0048445,"""145"""
tt0048452,"""126"""
tt0048545,"""111"""
tt0048554,"""82"""
tt0048563,"""117"""
tt0048605,"""105"""
tt0048624,"""102"""
tt0048673,"""102"""
tt0048696,"""80"""
tt0048729,"""106"""
tt0048750,"""99"""
tt0048752,"""177"""
tt0048801,"""106"""
tt0048947,"""105"""
tt0048960,"""167"""
tt0048966,"""107"""
tt0048973,"""114"""
tt0048977,"""129"""
tt0048990,"""119"""
tt0049006,"""80"""
tt0049010,"""95"""
tt0049038,"""96"""
tt0049055,"""128"""
tt0049096,"""101"""
tt0049169,"""83"""
tt0049189,"""95"""
tt0049223,"""98"""
tt0049233,"""137"""
tt0049261,"""201"""
tt0049263,"""98"""
tt0049291,"""109"""
tt0049314,"""111"""
tt0049366,"""80"""
tt0049406,"""84"""
tt0049408,"""133"""
tt0049452,"""89"""
tt0049456,"""122"""
tt0049470,"""120"""
tt0049474,"""153"""
tt0049513,"""116"""
tt0049646,"""82"""
tt0049653,"""121"""
tt0049674,"""161"""
tt0049730,"""119"""
tt0049743,"""78"""
tt0049762,"""107"""
tt0049778,"""113"""
tt0049830,"""123"""
tt0049833,"""220"""
tt0049877,"""80"""
tt0049934,"""208"""
tt0049949,"""100"""
tt0049966,"""99"""
tt0050032,"""30"""
tt0050051,"""60"""
tt0050083,"""96"""
tt0050084,"""82"""
tt0050086,"""92"""
tt0050105,"""115"""
tt0050212,"""161"""
tt0050280,"""82"""
tt0050307,"""103"""
tt0050330,"""137"""
tt0050356,"""98"""
tt0050371,"""126"""
tt0050393,"""77"""
tt0050407,"""80"""
tt0050419,"""103"""
tt0050458,"""116"""
tt0050490,"""107"""
tt0050539,"""81"""
tt0050556,"""96"""
tt0050585,"""91"""
tt0050598,"""110"""
tt0050613,"""110"""
tt0050634,"""95"""
tt0050658,"""130"""
tt0050706,"""116"""
tt0050763,"""90"""
tt0050766,"""95"""
tt0050782,"""102"""
tt0050783,"""110"""
tt0050798,"""83"""
tt0050814,"""101"""
tt0050815,"""111"""
tt0050825,"""88"""
tt0050839,"""157"""
tt0050861,"""115"""
tt0050894,"""90"""
tt0050933,"""147"""
tt0050974,"""109"""
tt0051003,"""135"""
tt0051036,"""96"""
tt0051047,"""78"""
tt0051077,"""91"""
tt0051087,"""93"""
tt0051198,"""110"""
tt0051201,"""116"""
tt0051207,"""105"""
tt0051337,"""88"""
tt0051383,"""143"""
tt0051390,"""77"""
tt0051406,"""106"""
tt0051411,"""166"""
tt0051418,"""86"""
tt0051429,"""94"""
tt0051459,"""108"""
tt0051525,"""96"""
tt0051554,"""82"""
tt0051588,"""100"""
tt0051622,"""94"""
tt0051658,"""115"""
tt0051720,"""118"""
tt0051739,"""97"""
tt0051744,"""75"""
tt0051745,"""110"""
tt0051758,"""120"""
tt0051773,"""100"""
tt0051790,"""88"""
tt0051818,"""116"""
tt0051849,"""102"""
tt0051878,"""115"""
tt0051899,"""100"""
tt0051983,"""94"""
tt0051994,"""123"""
tt0052005,"""119"""
tt0052027,"""86"""
tt0052050,"""99"""
tt0052080,"""103"""
tt0052151,"""93"""
tt0052182,"""100"""
tt0052218,"""137"""
tt0052225,"""157"""
tt0052278,"""120"""
tt0052311,"""95"""
tt0052357,"""128"""
tt0052365,"""116"""
tt0052415,"""167"""
tt0052451,"""49"""
tt0052520,"""51"""
tt0052556,"""90"""
tt0052561,"""161"""
tt0052600,"""88"""
tt0052618,"""212"""
tt0052655,"""66"""
tt0052700,"""103"""
tt0052722,"""93"""
tt0052832,"""119"""
tt0052876,"""107"""
tt0052905,"""87"""
tt0052911,"""105"""
tt0052918,"""125"""
tt0052948,"""129"""
tt0052993,"""95"""
tt0052997,"""116"""
tt0053084,"""83"""
tt0053085,"""86"""
tt0053106,"""96"""
tt0053121,"""108"""
tt0053125,"""136"""
tt0053131,"""149"""
tt0053133,"""96"""
tt0053137,"""134"""
tt0053172,"""102"""
tt0053183,"""97"""
tt0053198,"""99"""
tt0053220,"""73"""
tt0053221,"""141"""
tt0053226,"""117"""
tt0053270,"""81"""
tt0053271,"""104"""
tt0053285,"""75"""
tt0053291,"""121"""
tt0053318,"""114"""
tt0053434,"""121"""
tt0053459,"""90"""
tt0053472,"""90"""
tt0053479,"""30"""
tt0053502,"""26"""
tt0053559,"""85"""
tt0053580,"""162"""
tt0053604,"""125"""
tt0053622,"""109"""
tt0053644,"""72"""
tt0053677,"""85"""
tt0053716,"""91"""
tt0053719,"""78"""
tt0053779,"""174"""
tt0053793,"""146"""
tt0053804,"""208"""
tt0053848,"""104"""
tt0053877,"""104"""
tt0053925,"""79"""
tt0053946,"""128"""
tt0054022,"""119"""
tt0054033,"""72"""
tt0054038,"""97"""
tt0054047,"""128"""
tt0054067,"""87"""
tt0054127,"""122"""
tt0054135,"""127"""
tt0054177,"""88"""
tt0054188,"""112"""
tt0054189,"""118"""
tt0054195,"""134"""
tt0054215,"""109"""
tt0054269,"""89"""
tt0054292,"""111"""
tt0054310,"""97"""
tt0054331,"""197"""
tt0054357,"""126"""
tt0054387,"""103"""
tt0054407,"""131"""
tt0054412,"""107"""
tt0054428,"""125"""
tt0054452,"""128"""
tt0054476,"""110"""
tt0054594,"""92"""
tt0054599,"""117"""
tt0054632,"""94"""
tt0054649,"""106"""
tt0054692,"""102"""
tt0054698,"""115"""
tt0054743,"""108"""
tt0054757,"""107"""
tt0054759,"""112"""
tt0054777,"""93"""
tt0054821,"""108"""
tt0054847,"""182"""
tt0054885,"""133"""
tt0054953,"""158"""
tt0054997,"""134"""
tt0055018,"""100"""
tt0055019,"""84"""
tt0055031,"""179"""
tt0055047,"""168"""
tt0055052,"""103"""
tt0055073,"""112"""
tt0055082,"""117"""
tt0055184,"""125"""
tt0055198,"""101"""
tt0055205,"""87"""
tt0055207,"""101"""
tt0055254,"""79"""
tt0055256,"""104"""
tt0055257,"""141"""
tt0055277,"""129"""
tt0055304,"""80"""
tt0055312,"""136"""
tt0055320,"""93"""
tt0055353,"""128"""
tt0055471,"""124"""
tt0055505,"""81"""
tt0055506,"""101"""
tt0055571,"""99"""
tt0055572,"""85"""
tt0055597,"""100"""
tt0055608,"""105"""
tt0055614,"""153"""
tt0055630,"""110"""
tt0055662,"""25"""
tt0055683,"""25"""
tt0055798,"""147"""
tt0055824,"""106"""
tt0055830,"""78"""
tt0055852,"""90"""
tt0055895,"""117"""
tt0055928,"""110"""
tt0055972,"""123"""
tt0056023,"""106"""
tt0056048,"""143"""
tt0056059,"""157"""
tt0056062,"""90"""
tt0056085,"""164"""
tt0056142,"""97"""
tt0056172,"""218"""
tt0056194,"""104"""
tt0056196,"""174"""
tt0056197,"""178"""
tt0056215,"""106"""
tt0056217,"""123"""
tt0056218,"""126"""
tt0056241,"""106"""
tt0056255,"""116"""
tt0056264,"""178"""
